POSTAGE;2;1;2;12643;France
3 WHITE CHOC MORRIS BOXED CANDLES;4;1.25;5;17097;Spain
FILIGREE HEART BUTTERFLY WHITE ;4;1.25;5;17097;Spain
SMALL PURPLE BABUSHKA NOTEBOOK ;1;0.21;0.21;17097;Spain
SMALL YELLOW BABUSHKA NOTEBOOK ;1;0.21;0.21;17097;Spain
SMALL RED BABUSHKA NOTEBOOK ;1;0.21;0.21;17097;Spain
CERAMIC HEART FAIRY CAKE MONEY BANK;1;0.39;0.39;17097;Spain
CERAMIC CHERRY CAKE MONEY BANK;1;0.39;0.39;17097;Spain
BOX OF 24 COCKTAIL PARASOLS;1;0.42;0.42;17097;Spain
PAPERWEIGHT VINTAGE COLLAGE;2;0.39;0.78;17097;Spain
PAPERWEIGHT HOME SWEET HOME;2;0.39;0.78;17097;Spain
HANGING METAL HEART LANTERN;1;0.79;0.79;17097;Spain
HANGING METAL STAR LANTERN;1;0.79;0.79;17097;Spain
TRAVEL CARD WALLET I LOVE LONDON;2;0.42;0.84;17097;Spain
ENGLISH ROSE NOTEBOOK A7 SIZE;2;0.42;0.84;17097;Spain
WHITE BAMBOO RIBS LAMPSHADE;1;0.85;0.85;17097;Spain
PACK OF 20 NAPKINS PANTRY DESIGN;1;0.85;0.85;17097;Spain
SET 20 NAPKINS FAIRY CAKES DESIGN ;1;0.85;0.85;17097;Spain
REX CASH+CARRY JUMBO SHOPPER;1;0.95;0.95;17097;Spain
REX CASH+CARRY JUMBO SHOPPER;1;0.95;0.95;17097;Spain
REX CASH+CARRY JUMBO SHOPPER;1;0.95;0.95;17097;Spain
BIRTHDAY PARTY CORDON BARRIER TAPE;1;1.25;1.25;17097;Spain
TEA TIME OVEN GLOVE;1;1.25;1.25;17097;Spain
DOLLY GIRL CHILDRENS CUP;1;1.25;1.25;17097;Spain
SPACEBOY CHILDRENS CUP;1;1.25;1.25;17097;Spain
SPACEBOY CHILDRENS BOWL;1;1.25;1.25;17097;Spain
DOLLY GIRL CHILDRENS BOWL;1;1.25;1.25;17097;Spain
SET 36 COLOUR PENCILS DOLLY GIRL;1;1.25;1.25;17097;Spain
SET 36 COLOUR PENCILS SPACEBOY ;1;1.25;1.25;17097;Spain
STARS GIFT TAPE ;2;0.65;1.3;17097;Spain
HEARTS GIFT TAPE;2;0.65;1.3;17097;Spain
STAR DECORATION PAINTED ZINC ;2;0.65;1.3;17097;Spain
HEART DECORATION PAINTED ZINC ;2;0.65;1.3;17097;Spain
CAKES AND BOWS GIFT  TAPE;2;0.65;1.3;17097;Spain
STARS GIFT TAPE ;2;0.65;1.3;17097;Spain
RED RETROSPOT TAPE;2;0.65;1.3;17097;Spain
FAIRY CAKES NOTEBOOK A6 SIZE;2;0.65;1.3;17097;Spain
CERAMIC STRAWBERRY CAKE MONEY BANK;1;1.45;1.45;17097;Spain
WICKER WREATH SMALL;1;1.45;1.45;17097;Spain
CERAMIC STRAWBERRY CAKE MONEY BANK;1;1.45;1.45;17097;Spain
CERAMIC CHERRY CAKE MONEY BANK;1;1.45;1.45;17097;Spain
